İstasyon,Fotoğraf,Hat(lar),Konum,Seviye,Açılış,Aktarma
4. Levent¤,,,Kâğıthane & Şişli,Yer altı,16 Eylül 2000,(4. Levent)
Acıbadem,,,Kadıköy,Yer altı,17 Ağustos 2012,—
Aksaray¤,,・,Fatih,Yer altı,3 Eylül 1989,(Yusufpaşa)
Alibeyköy¤,,,Eyüpsultan,Viyadük,28 Ekim 2020,(Alibeyköy Metro)
Altınşehir,,,Ümraniye,Yer altı,21 Ekim 2018,—
Altunizade#,,,Üsküdar,Yer altı,15 Aralık 2017,(Altunizade)・ (Altunizade)
Ataköy - Şirinevler¤,,,Bakırköy,Hemzemin,26 Temmuz 1995,(Şirinevler)
Atatürk Havalimanı†,,,Bakırköy,Yer altı,20 Aralık 2002,—
Atatürk Oto Sanayi,,,Sarıyer,Yer altı,31 Ocak 2009,—
Ayrılık Çeşmesi¤,,,Kadıköy,Yer altı,29 Ekim 2013,(Ayrılık Çeşmesi)
Ayşekadın,,,Kadıköy,Yer altı,6 Ocak 2023,—
Bağcılar Meydan¤,,,Bağcılar,Yer altı,14 Haziran 2013,(Bağcılar)
Bağlarbaşı,,,Üsküdar,Yer altı,15 Aralık 2017,—
Bahariye†,,,Küçükçekmece,Yer altı,29 Mayıs 2021,—
Bahçelievler¤,,,Bahçelievler,Yer altı,15 Ocak 1999,(Bahçelievler)
Bakırköy - İncirli#,,,Bakırköy,Yer altı,7 Mart 1994,・・・ (İncirli)・ (İncirli)
Başak Konutları,,,Başakşehir,Yer altı,14 Haziran 2013,—
Başakşehir - Metrokent,,,Başakşehir,Yer altı,14 Haziran 2013,—
Bayrampaşa - Maltepe,,・,Eyüpsultan,Hemzemin,3 Eylül 1989,—
Boğaziçi Üniversitesi/Hisarüstü#,,,Sarıyer,Yer altı,19 Nisan 2015,(Boğaziçi Üniversitesi/Hisarüstü)
Bostancı,,,Kadıköy,Yer altı,17 Ağustos 2012,—
Bostancı#,,,Maltepe,Yer altı,6 Ocak 2023,・・ (Bostancı)・ (ŞH Bostancı・İDO Bostancı)
Bulgurlu,,,Üsküdar,Yer altı,15 Aralık 2017,—
Çağlayan,,,Kâğıthane,Yer altı,28 Ekim 2020,—
Çakmak,,,Ümraniye,Yer altı,21 Ekim 2018,—
Çarşı¤,,,Ümraniye,Yer altı,15 Aralık 2017,(Çarşı)
Çekmeköy†,,,Çekmeköy,Yer altı,21 Ekim 2018,—
Çırçır,,,Eyüpsultan,Yer altı,28 Ekim 2020,—
Darüşşafaka,,,Sarıyer,Yer altı,2 Eylül 2010,—
Davutpaşa - YTÜ,,,Güngören,Viyadük,31 Ocak 1994,—
DTM - İstanbul Fuar Merkezi,,,Bakırköy,Viyadük,20 Aralık 2002,—
Dudullu¤,,,Ümraniye,Yer altı,21 Ekim 2018,—
Dudullu¤,,,Ümraniye,Yer altı,6 Ocak 2023,—
Emin Ali Paşa,,,Kadıköy,Yer altı,6 Ocak 2023,—
Emniyet - Fatih,,・,Fatih,Yer altı,3 Eylül 1989,—
Esenkent,,,Maltepe,Yer altı,17 Ağustos 2012,—
Esenler,,,Esenler,Yer altı,22 Şubat 2012,—
Etiler,,,Beşiktaş,Yer altı,19 Nisan 2015,—
Fevzi Çakmak - Hastane,,・,Pendik,Yer altı,2 Ekim 2022,—
Fıstıkağacı,,,Üsküdar,Yer altı,15 Aralık 2017,—
Fulya,,,Beşiktaş,Yer altı,2 Ocak 2023,—
Gayrettepe#,,,Şişli,Yer altı,16 Eylül 2000,(Gayrettepe)・ (Zincirlikuyu)
Giyimkent - Tekstilkent,,,Gaziosmanpaşa,Yer altı,28 Ekim 2020,—
Göktürk,,,Eyüpsultan,Yer altı,22 Ocak 2023,—
Göztepe,,,Üsküdar & Kadıköy,Yer altı,17 Ağustos 2012,—
Göztepe Mahallesi,,,Bağcılar,Yer altı,28 Ekim 2020,—
Gülsuyu,,,Maltepe,Yer altı,17 Ağustos 2012,—
Hacıosman†,,,Sarıyer,Yer altı,29 Nisan 2011,—
Haliç¤,,,Beyoğlu・Fatih,Köprü,15 Şubat 2014,(Küçükpazar)
Hasdal,,,Eyüpsultan,Yer altı,22 Ocak 2023,—
Hastane - Adliye,,,Kartal,Yer altı,17 Ağustos 2012,—
Huzur,,,Ümraniye,Yer altı,6 Ocak 2023,—
Huzurevi,,,Maltepe,Yer altı,17 Ağustos 2012,—
Ihlamurkuyu,,,Ümraniye,Yer altı,21 Ekim 2018,—
İçerenköy,,,Ataşehir,Yer altı,6 Ocak 2023,—
İhsaniye,,,Eyüpsultan,Yer altı,22 Ocak 2023,—
İkitelli Sanayi¤,,,Başakşehir,Yer altı,14 Haziran 2013,M3 ve M9 hatları arasında ücretsiz aktarma imkânı bulunmaktadır.
İkitelli Sanayi¤,,,Başakşehir,Yer altı,22 Kasım 2013,M3 ve M9 hatları arasında ücretsiz aktarma imkânı bulunmaktadır.
İmam Hatip Lisesi,,,Ümraniye,Yer altı,21 Ekim 2018,—
İMES¤,,,Ümraniye,Yer altı,6 Ocak 2023,(İMES)
İstanbul Havalimanı¤,,,Arnavutköy,Yer altı,22 Ocak 2023,(İstanbul Havalimanı)
İSTOÇ,,,Bağcılar,Yer altı,14 Haziran 2013,—
İTÜ - Ayazağa¤,,,Sarıyer,Yer altı,31 Ocak 2009,(İTÜ)
Kadıköy#,,,Kadıköy,Yer altı,17 Ağustos 2012,(Kadıköy İDO)・ (ŞH Kadıköy・İDO Kadıköy)
